epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,235.603,1.53548,0.84525,0.83505,0.75609,0.47279,0.50586,0.31019,1.37263,0.7667,0.82313,0.00031552,0.00031552,0.00031552
66,239.112,1.47631,0.83654,0.83259,0.7885,0.4796,0.50779,0.30792,1.37523,0.76386,0.82199,0.0003142,0.0003142,0.0003142
67,242.623,1.5188,0.83184,0.83591,0.79226,0.4791,0.50747,0.30157,1.41758,0.77368,0.8239,0.00031288,0.00031288,0.00031288
68,246.106,1.49086,0.83223,0.83769,0.79693,0.48007,0.51506,0.30431,1.40525,0.76673,0.82307,0.00031156,0.00031156,0.00031156
69,249.681,1.55574,0.86305,0.8375,0.79459,0.4914,0.52072,0.31571,1.39803,0.75451,0.82332,0.00031024,0.00031024,0.00031024
70,253.267,1.48019,0.82598,0.8278,0.80491,0.48462,0.525,0.32097,1.38557,0.75933,0.82398,0.00030892,0.00030892,0.00030892
71,256.754,1.47643,0.82753,0.83679,0.82715,0.48344,0.52866,0.32246,1.36902,0.76027,0.82121,0.0003076,0.0003076,0.0003076
72,260.309,1.5658,0.83617,0.83672,0.8288,0.48949,0.52945,0.32168,1.37261,0.74738,0.82088,0.00030628,0.00030628,0.00030628
73,263.955,1.53979,0.82854,0.83737,0.83254,0.48345,0.52707,0.31554,1.37349,0.75891,0.82201,0.00030496,0.00030496,0.00030496
74,267.478,1.47173,0.79182,0.83624,0.83752,0.48638,0.53315,0.32212,1.35687,0.74163,0.82069,0.00030364,0.00030364,0.00030364
75,271.069,1.55681,0.82866,0.83558,0.83527,0.48788,0.53833,0.31405,1.41012,0.73867,0.82281,0.00030232,0.00030232,0.00030232
76,274.599,1.58567,0.84121,0.8359,0.83154,0.48547,0.53888,0.32972,1.34694,0.73063,0.82061,0.000301,0.000301,0.000301
77,278.209,1.50492,0.81473,0.82953,0.82523,0.498,0.54731,0.3362,1.33977,0.72474,0.82046,0.00029968,0.00029968,0.00029968
78,281.835,1.48931,0.80313,0.83374,0.83398,0.50355,0.55115,0.32326,1.42411,0.73215,0.82314,0.00029836,0.00029836,0.00029836
79,285.361,1.45198,0.78098,0.83368,0.84264,0.50721,0.55181,0.33571,1.3364,0.71499,0.81884,0.00029704,0.00029704,0.00029704
80,288.927,1.52016,0.8033,0.83319,0.84435,0.50535,0.55,0.32811,1.42478,0.73173,0.8237,0.00029572,0.00029572,0.00029572
81,292.501,1.50721,0.79884,0.83334,0.8437,0.51192,0.55677,0.33296,1.371,0.71289,0.81908,0.0002944,0.0002944,0.0002944
82,296.061,1.48817,0.8179,0.83548,0.83986,0.51259,0.55847,0.32394,1.46065,0.73161,0.82297,0.00029308,0.00029308,0.00029308
83,299.515,1.51016,0.80283,0.83231,0.83921,0.50885,0.55658,0.34379,1.32205,0.70596,0.81687,0.00029176,0.00029176,0.00029176
84,303.079,1.4579,0.77585,0.82795,0.84412,0.50942,0.5564,0.33864,1.37224,0.71795,0.81898,0.00029044,0.00029044,0.00029044
85,306.523,1.44479,0.77919,0.83074,0.84471,0.5134,0.56153,0.34065,1.3448,0.70188,0.81744,0.00028912,0.00028912,0.00028912
86,310.013,1.39661,0.75733,0.83454,0.8456,0.51317,0.56404,0.34157,1.37647,0.70544,0.81862,0.0002878,0.0002878,0.0002878
87,313.588,1.48617,0.79163,0.83188,0.83567,0.51197,0.56149,0.34492,1.322,0.69963,0.81654,0.00028648,0.00028648,0.00028648
88,317.087,1.44939,0.77084,0.83118,0.83095,0.50758,0.55709,0.34484,1.3262,0.70308,0.81723,0.00028516,0.00028516,0.00028516
89,320.663,1.42004,0.75994,0.82597,0.83281,0.49679,0.5553,0.34279,1.32935,0.70426,0.81676,0.00028384,0.00028384,0.00028384
90,324.125,1.4884,0.78043,0.82788,0.77489,0.49922,0.55696,0.34502,1.30953,0.69374,0.81528,0.00028252,0.00028252,0.00028252
91,327.736,1.44012,0.76998,0.83143,0.82831,0.50572,0.56215,0.35001,1.29024,0.68359,0.81386,0.0002812,0.0002812,0.0002812
92,331.356,1.50688,0.78511,0.82917,0.82132,0.53031,0.57512,0.35594,1.3245,0.68761,0.81642,0.00027988,0.00027988,0.00027988
93,334.858,1.44191,0.77442,0.83044,0.82213,0.52905,0.57738,0.3611,1.2962,0.68728,0.81567,0.00027856,0.00027856,0.00027856
94,338.45,1.47285,0.77838,0.83023,0.80082,0.53453,0.57959,0.35735,1.31761,0.69575,0.81555,0.00027724,0.00027724,0.00027724
95,342.02,1.40709,0.76822,0.82891,0.81496,0.5297,0.58426,0.3577,1.31488,0.68867,0.81549,0.00027592,0.00027592,0.00027592
96,345.463,1.38957,0.75123,0.82882,0.7961,0.53651,0.58042,0.35838,1.31191,0.68732,0.81519,0.0002746,0.0002746,0.0002746
97,349.002,1.44725,0.76277,0.82633,0.77815,0.52729,0.57128,0.35434,1.30253,0.69061,0.81542,0.00027328,0.00027328,0.00027328
98,352.603,1.43325,0.75277,0.82912,0.79073,0.53731,0.57924,0.35396,1.30568,0.69567,0.81556,0.00027196,0.00027196,0.00027196
99,356.123,1.51004,0.80234,0.82935,0.81185,0.53464,0.58538,0.35288,1.35989,0.69905,0.81741,0.00027064,0.00027064,0.00027064
100,359.754,1.37126,0.74375,0.82386,0.80304,0.53647,0.58616,0.3637,1.2737,0.66794,0.81322,0.00026932,0.00026932,0.00026932
101,363.29,1.40892,0.75044,0.82961,0.79985,0.54722,0.58857,0.36843,1.27408,0.66466,0.81294,0.000268,0.000268,0.000268
102,366.771,1.43135,0.75637,0.83036,0.80068,0.54741,0.58881,0.35184,1.37424,0.68209,0.81753,0.00026668,0.00026668,0.00026668
103,370.247,1.4147,0.75187,0.8296,0.79316,0.54299,0.59092,0.36934,1.27001,0.66892,0.81278,0.00026536,0.00026536,0.00026536
104,373.773,1.43627,0.75369,0.82452,0.81213,0.51741,0.58604,0.35953,1.27681,0.67328,0.81524,0.00026404,0.00026404,0.00026404
105,377.244,1.36891,0.74615,0.82336,0.75681,0.53975,0.60091,0.37121,1.27588,0.66488,0.81213,0.00026272,0.00026272,0.00026272
106,380.795,1.42037,0.74208,0.82975,0.7848,0.54742,0.60211,0.37417,1.27077,0.6573,0.8121,0.0002614,0.0002614,0.0002614
107,384.289,1.38361,0.72897,0.82527,0.74823,0.55584,0.60187,0.37689,1.25183,0.65188,0.81116,0.00026008,0.00026008,0.00026008
108,387.85,1.39567,0.75463,0.82736,0.74984,0.55661,0.59748,0.37509,1.26628,0.66288,0.81157,0.00025876,0.00025876,0.00025876
109,391.456,1.36462,0.7154,0.82488,0.75142,0.55923,0.59895,0.36995,1.28696,0.65999,0.81232,0.00025744,0.00025744,0.00025744
110,394.997,1.3842,0.72381,0.83164,0.7696,0.55466,0.59817,0.36639,1.30127,0.66101,0.81233,0.00025612,0.00025612,0.00025612
111,398.494,1.42428,0.75249,0.82516,0.77953,0.55502,0.60247,0.37177,1.2725,0.65783,0.81173,0.0002548,0.0002548,0.0002548
112,402.103,1.37899,0.72648,0.82917,0.83623,0.55055,0.61732,0.37247,1.32335,0.66098,0.81434,0.00025348,0.00025348,0.00025348
113,405.587,1.4327,0.7732,0.82438,0.80883,0.56176,0.62173,0.38601,1.2716,0.6512,0.81207,0.00025216,0.00025216,0.00025216
114,409.067,1.36955,0.71848,0.83149,0.82309,0.56999,0.62072,0.38347,1.2722,0.65232,0.81101,0.00025084,0.00025084,0.00025084
115,412.636,1.44538,0.76096,0.82482,0.81345,0.57737,0.61958,0.37847,1.29426,0.65789,0.81177,0.00024952,0.00024952,0.00024952
116,416.116,1.40396,0.74482,0.82321,0.82221,0.5685,0.61525,0.3805,1.27494,0.66378,0.81174,0.0002482,0.0002482,0.0002482
117,419.523,1.35501,0.71961,0.82898,0.80719,0.56791,0.62315,0.38733,1.25642,0.65175,0.81023,0.00024688,0.00024688,0.00024688
118,423.103,1.36815,0.72153,0.82325,0.81483,0.56519,0.61878,0.3846,1.25778,0.64437,0.81003,0.00024556,0.00024556,0.00024556
119,426.596,1.39709,0.72152,0.82697,0.79822,0.56694,0.60848,0.37917,1.25999,0.6471,0.81131,0.00024424,0.00024424,0.00024424
120,430.127,1.39715,0.72811,0.81981,0.85402,0.56845,0.61875,0.37905,1.28997,0.6527,0.81305,0.00024292,0.00024292,0.00024292
121,433.544,1.36295,0.7186,0.82556,0.85961,0.57887,0.62633,0.38718,1.26965,0.65142,0.81127,0.0002416,0.0002416,0.0002416
122,437.103,1.39011,0.71787,0.8234,0.8617,0.57743,0.62996,0.39036,1.27082,0.64723,0.81092,0.00024028,0.00024028,0.00024028
123,440.606,1.38575,0.71008,0.82158,0.8519,0.57792,0.62869,0.38598,1.28111,0.64865,0.81169,0.00023896,0.00023896,0.00023896
124,444.111,1.33725,0.69867,0.826,0.82685,0.57407,0.6164,0.38057,1.27266,0.65323,0.81173,0.00023764,0.00023764,0.00023764
125,447.612,1.38587,0.72133,0.82297,0.83654,0.57152,0.61863,0.37982,1.27817,0.65048,0.81121,0.00023632,0.00023632,0.00023632
126,451.165,1.47289,0.76296,0.82811,0.83692,0.57636,0.62412,0.38415,1.27928,0.64796,0.81085,0.000235,0.000235,0.000235
127,454.754,1.36587,0.71532,0.82183,0.7991,0.57547,0.61352,0.37292,1.26801,0.64825,0.81107,0.00023368,0.00023368,0.00023368
128,458.251,1.38747,0.71368,0.82622,0.85114,0.57041,0.61994,0.38164,1.29593,0.65701,0.81135,0.00023236,0.00023236,0.00023236
129,461.869,1.37082,0.71333,0.8233,0.86199,0.56941,0.6247,0.38857,1.24224,0.63783,0.80977,0.00023104,0.00023104,0.00023104
130,465.361,1.35978,0.69993,0.82277,0.81321,0.57905,0.62718,0.38232,1.25624,0.63324,0.81049,0.00022972,0.00022972,0.00022972
131,468.851,1.33664,0.69395,0.81874,0.79641,0.59077,0.63224,0.39132,1.24571,0.63254,0.80999,0.0002284,0.0002284,0.0002284
132,472.506,1.34824,0.70926,0.82,0.77102,0.59596,0.64137,0.39385,1.23819,0.6306,0.80887,0.00022708,0.00022708,0.00022708
133,476.053,1.3904,0.7206,0.82477,0.78737,0.59861,0.64522,0.3992,1.23956,0.63087,0.80905,0.00022576,0.00022576,0.00022576
134,479.662,1.32992,0.68938,0.82641,0.80336,0.59608,0.64718,0.40429,1.22482,0.62166,0.80766,0.00022444,0.00022444,0.00022444
135,483.257,1.37707,0.71766,0.81907,0.81331,0.59843,0.65181,0.40181,1.2556,0.62487,0.80862,0.00022312,0.00022312,0.00022312
136,486.899,1.34353,0.69794,0.82168,0.81496,0.60281,0.64931,0.40497,1.22842,0.62001,0.80742,0.0002218,0.0002218,0.0002218
137,490.366,1.33045,0.67639,0.8224,0.83925,0.59902,0.65258,0.40709,1.23722,0.62053,0.80785,0.00022048,0.00022048,0.00022048
138,493.861,1.40909,0.71747,0.82539,0.8216,0.60208,0.64789,0.40766,1.23371,0.62235,0.80868,0.00021916,0.00021916,0.00021916
139,497.378,1.36043,0.69336,0.82269,0.80323,0.59992,0.64663,0.4054,1.22082,0.62137,0.80727,0.00021784,0.00021784,0.00021784
140,500.859,1.37161,0.70504,0.81931,0.80117,0.60561,0.65017,0.40189,1.23583,0.61936,0.80838,0.00021652,0.00021652,0.00021652
